id,en_name,ja_name,ja_summary
1,Hydrogen,水素,水素は、化学記号 H、原子番号 1 の化学元素です。原子量は 1.00794 u で、周期表で最も軽い元素です。単原子形態 (H) は宇宙で最も豊富な化学物質であり、すべての重粒子質量の約 75% を占めています。
2,Helium,ヘリウム,ヘリウムは、記号 He、原子番号 2 の化学元素です。無色、無臭、無味、無毒、不活性、単原子ガスで、周期表の希ガス グループの先頭にあたります。沸点と融点はすべての元素の中で最も低いです。
3,Lithium,リチウム,リチウム (ギリシャ語: λ?θο? lithos、「石」に由来) は、記号 Li、原子番号 3 の化学元素です。アルカリ金属元素グループに属する、銀白色の柔らかい金属です。標準条件下では、最も軽い金属であり、最も密度の低い固体元素です。
4,Beryllium,ベリリウム,ベリリウムは、記号 Be、原子番号 4 の化学元素です。恒星の元素合成によって生成され、宇宙では比較的希少な元素です。鉱物中の他の元素と結合してのみ自然に発生する二価元素です。
5,Boron,ホウ素,ホウ素は、記号 B、原子番号 5 の半金属化学元素です。恒星の元素合成ではなく、宇宙線の破砕と超新星によってのみ生成され、太陽系と地球の地殻の両方で存在量が少ない元素です。ホウ素は、より一般的な天然化合物であるホウ酸塩鉱物の水溶性によって地球に集中しています。
6,Carbon,炭素,炭素 (ラテン語の carbo「石炭」に由来) は、記号 C、原子番号 6 の化学元素です。周期表では、外側の電子殻の構成が共通する 14 列 (グループ) の 6 つの元素のうちの最初 (行 2) です。非金属で四価であり、4 つの電子を共有化学結合の形成に利用できます。
7,Nitrogen,窒素,窒素は、記号 N、原子番号 7 の化学元素です。窒素は最も軽い窒素元素で、室温では透明で無臭の二原子ガスです。窒素は宇宙で一般的な元素で、天の川と太陽系での総存在量は約 7 番目と推定されています。
8,Oxygen,酸素,酸素は、記号 O、原子番号 8 の化学元素です。周期表のカルコゲン グループのメンバーであり、非常に反応性の高い非金属および酸化剤であり、ほとんどの元素と容易に化合物 (特に酸化物) を形成します。質量で見ると、酸素は水素とヘリウムに次いで宇宙で 3 番目に豊富な元素です。
9,Fluorine,フッ素,フッ素は、記号 F、原子番号 9 の化学元素です。最も軽いハロゲンで、標準状態では非常に有毒な淡黄色の二原子ガスとして存在します。最も電気陰性度の高い元素であるため、反応性が非常に高く、希ガスを含む他のほぼすべての元素はフッ素と化合物を形成します。
10,Neon,ネオン,ネオンは、記号 Ne、原子番号 10 の化学元素です。周期表の 18 族 (希ガス) に属します。ネオンは、標準状態では無色、無臭、不活性の単原子ガスで、密度は空気の約 3 分の 2 です。
11,Sodium,ナトリウム,ナトリウム /?so?di?m/ は、記号 Na (古代ギリシャ語の Ν?τριο に由来)、原子番号 11 の化学元素です。柔らかく、銀白色で、反応性が非常に高い金属です。周期表では、第 1 列 (アルカリ金属) に属し、その列の他の 6 つの元素と同様に、外殻に電子を 1 つ持ち、これを容易に提供して、正に帯電した原子 (陽イオン) を形成します。
12,Magnesium,マグネシウム,マグネシウムは、記号 Mg、原子番号 12 の化学元素です。光沢のある灰色の固体で、周期表の 2 番目の列 (グループ 2、またはアルカリ土類金属) の他の 5 つの元素と物理的によく似ています。それぞれの外殻電子の電子配置が同じで、同様の結晶構造を形成しています。マグネシウムは、宇宙で 9 番目に豊富な元素です。
13,Aluminium,アルミニウム,アルミニウム (または aluminum、末尾が異なる) は、ホウ素グループの化学元素で、記号 Al、原子番号 13 です。銀白色で、柔らかく、非磁性で、延性のある金属です。アルミニウムは、地球の地殻で 3 番目に豊富な元素 (酸素とシリコンに次ぐ) であり、最も豊富な金属です。
